Nombre investigador,País,Ciudad,Institución,Perfil,Link a YouTube idioma original (mismo ESP-POR),Link a YouTube Subtitulado,Resumen,Bio idioma original,Bio ingles,Bio Portugues,Publications,,,,,,,,,,,,,,,
Cheng-Kai (Kai) Hsu,USA,"Berkeley, California","University of California, Berkeley. ",SALURBAL Fellow,https://youtube.com/shorts/crR9xcuEndI?feature=share,https://youtube.com/shorts/crR9xcuEndI?feature=share,"Cheng-Kai (Kai) Hsu, es investigador posdoctoral en el Instituto de Estudios del Transporte de la Universidad de California, Berkeley. Se formó en planificación urbana e ingeniería del transporte, con un enfoque interdisciplinario sobre cómo los factores climáticos, los entornos urbanos y los sistemas de movilidad influyen en los riesgos para la salud de la población. Tiene un doctorado en Planificación Urbana y Regional por la Universidad de California, Berkeley, una maestría en Transporte (Ingeniería Civil y Ambiental) por el Imperial College de Londres y una licenciatura en Planificación Urbana por la Universidad Nacional Cheng Kung de Taiwán.","Cheng-Kai (Kai) Hsu, PhD, is a postdoctoral scholar at the Institute of Transportation Studies, University of California, Berkeley. He was trained in urban planning and transportation engineering, with an interdisciplinary focus on how climate stressors, urban environments, and mobility systems shape population health risks. He holds a PhD in City and Regional Planning from the University of California, Berkeley, an MSc in Transport (Civil and Environmental Engineering) from Imperial College London, and a BS in Urban Planning from National Cheng Kung University in Taiwan.","Cheng-Kai (Kai) Hsu, PhD, is a postdoctoral scholar at the Institute of Transportation Studies, University of California, Berkeley. He was trained in urban planning and transportation engineering, with an interdisciplinary focus on how climate stressors, urban environments, and mobility systems shape population health risks. He holds a PhD in City and Regional Planning from the University of California, Berkeley, an MSc in Transport (Civil and Environmental Engineering) from Imperial College London, and a BS in Urban Planning from National Cheng Kung University in Taiwan.","Cheng-Kai (Kai) Hsu, PhD, é pesquisador de pós-doutorado no Instituto de Estudos de Transporte da Universidade da Califórnia, em Berkeley. Ele foi formado em planejamento urbano e engenharia de transporte, com foco interdisciplinar em como os fatores de estresse climático, os ambientes urbanos e os sistemas de mobilidade moldam os riscos à saúde da população. Ele possui doutorado em Planejamento Urbano e Regional pela Universidade da Califórnia, Berkeley, mestrado em Transporte (Engenharia Civil e Ambiental) pelo Imperial College London e bacharelado em Planejamento Urbano pela Universidade Nacional Cheng Kung, em Taiwan.","Cheng-Kai Hsu,
Unpacking temporal trends in U.S. road injury mortality by mode of transportation and sex: An age–period–cohort analysis,
Cities,
Volume 169,
2026,
106492,
ISSN 0264-2751,
https://doi.org/10.1016/j.cities.2025.106492.","Hsu, CK., Quistberg, D.A., Sánchez, B.N. et al. Individual and city-level variations in heat-related road traffic deaths in Latin America. Nat Cities 2, 897–906 (2025). https://doi.org/10.1038/s44284-025-00279-x","Cheng-Kai Hsu, Melody Tsao, Marcel E. Moran, Julia B. Griswold, Robert J. Schneider, John M. Bigham, A context-sensitive roadway classification framework for speed limit setting in the US,Transportation Research Interdisciplinary Perspectives,Volume 33,2025,101621,ISSN 2590-1982,https://doi.org/10.1016/j.trip.2025.101621.",,,,,,,,,,,,,
Giovanna Valentino,Chile,Santiago de Chile,Universidad de Chile,SALURBAL Fellow,https://youtube.com/shorts/kmL3xzTPCAs?feature=share,,"Giovanna es investigadora con una maestría en Fisiología Humana y Aplicada del King's College de Londres. Su carrera incluye años de trabajo en investigación sobre prevención de enfermedades cardiovasculares, lo que despertó su interés por los determinantes de la dieta. Durante su doctorado, utilizando datos del proyecto SALURBAL, estudió el consumo de frutas y verduras en ciudades latinoamericanas y los factores contextuales que influyen en él. Actualmente desarrolla una propuesta basada en la Encuesta de Presupuesto Familiar para evaluar la sustentabilidad dietaria y el entorno urbano en Chile.","El 2011 hice un magíster en Fisiología Humana y Aplicada en King´s College Londres, desde 2015 soy académico de la Escuela de Ciencias de la Salud de la Facultad de Medicina, Pontificia Universidad Católica de Chile, donde realizo docencia y trabajé por varios años en investigaciones relacionadas a la prevención de enfermedades cardiovasculares y surge el interés en determinantes de la dieta. Luego, en el año 2021 comencé estudios doctorales en la Escuela de Salud Pública de la Universidad de Chile, donde hice la tesis con datos de SALURBAL. Durante mi tesis realizamos dos publicaciones relacionadas al consumo de frutas y verduras en las ciudades latinoamericanas y los factores contextuales que influyen en ella, hasta el año 2025. Actualmente sigo colaborando con la Universidad de Chile y SALURBAL y estoy trabajando en una propuesta que utiliza datos de la Encuesta de Presupuesto Familiar para evaluar la sustentabilidad de la dieta en Chile y el ambiente urbano dentro del grupo Food Systems","Giovanna is a researcher with a master's degree in Human and Applied Physiology from King's College London. Her career includes years of work in research on cardiovascular disease prevention, which sparked her interest in the determinants of diet. During her doctoral studies, using data from the SALURBAL project, she investigated the consumption of fruits and vegetables in Latin American cities and the contextual factors that influence it. She is currently developing a proposal based on the Household Budget Survey to assess dietary sustainability and the urban environment in Chile.","A Giovanna é pesquisadora com mestrado em Fisiologia Humana e Aplicada pelo King's College de Londres. Sua carreira inclui anos de trabalho em pesquisa sobre prevenção de doenças cardiovasculares, o que despertou seu interesse pelos determinantes da dieta. Durante seu doutorado, utilizando dados do projeto SALURBAL, ela investigou o consumo de frutas e vegetais em cidades latino-americanas e os fatores contextuais que o influenciam. Atualmente, ela desenvolve uma proposta baseada na Pesquisa de Orçamentos Familiares para avaliar a sustentabilidade alimentar e o ambiente urbano no Chile.","Valentino, G., Auchincloss, A.H., Tumas, N. et al. Association of socio-economic environment and women’s empowerment with daily fruit and vegetable intake in Latin American cities: a multilevel study. BMC Public Health 25, 2189 (2025). https://doi.org/10.1186/s12889-025-22973-0","Paola Varleta, Mónica Acevedo, Giovanna Valentino, Carolina Casas-Cordero, Amalia Berríos, Rosario López-Infante, Prevalence of American heart association's ¨ Life's Essential 8¨ in a cohort of Latino women,American Journal of Preventive Cardiology,Volume 22,2025,100988,ISSN 2666-6677,https://doi.org/10.1016/j.ajpc.2025.100988.","Valentino G, Auchincloss AH, Acharya B, et al. Prevalence of daily fruit and vegetable intake by socio-economic characteristics, women’s empowerment, and climate zone: an ecological study in Latin American cities. Journal of Nutritional Science. 2025;14:e4. doi:10.1017/jns.2024.93",,,,,,,,,,,,,
Laura Orlado,Chile,Santiago de Chile,Pontificia Universidad Católica de Chile,SALURBAL Fellow,https://studio.youtube.com/video/DUHqcQEQPZA/edit,,"Laura es socióloga de la Universidad Diego Portales (UDP). Su interés por la sociología urbana la llevó a especializarse en esta área a través del Magíster en Desarrollo Urbano de la Pontificia Universidad Católica de Chile (PUC). Interesada por la investigación cualitativa y el trabajo directo con las personas en sus territorios, se enfoca en estudiar las relaciones entre urbanismo, medio ambiente, salud y calidad de vida, desde enfoques de la producción social de la vivienda, la sustentabilidad urbana y las soluciones basadas en la naturaleza; género y vida cotidiana.","Laura Orlando es socióloga de la Universidad Diego Portales (UDP). Su interés por la sociología urbana la llevó a especializarse en esta área a través del Magíster en Desarrollo Urbano de la Pontificia Universidad Católica de Chile (PUC). Interesada por la investigación cualitativa y el trabajo directo con las personas en sus territorios, se enfoca en estudiar las relaciones entre urbanismo, medio ambiente, salud y calidad de vida, desde enfoques de la producción social de la vivienda, la sustentabilidad urbana y las soluciones basadas en la naturaleza; género y vida cotidiana.","Laura Orlando is a sociologist from Diego Portales University (UDP). Her interest in urban sociology led her to specialize in this area through a Master's degree in Urban Development from the Pontifical Catholic University of Chile (PUC). Interested in qualitative research and working directly with people in their territories, she focuses on studying the relationships between urbanism, the environment, health, and quality of life, from the perspectives of social housing production, urban sustainability, and nature-based solutions; gender and everyday life.","Laura Orlando é socióloga pela Universidade Diego Portales (UDP). Seu interesse pela sociologia urbana a levou a se especializar nessa área através do Mestrado em Desenvolvimento Urbano da Pontifícia Universidade Católica do Chile (PUC). Interessada em pesquisa qualitativa e no trabalho direto com as pessoas em seus territórios, ela se concentra no estudo das relações entre urbanismo, meio ambiente, saúde e qualidade de vida, a partir de abordagens da produção social da habitação, sustentabilidade urbana e soluções baseadas na natureza; gênero e vida cotidiana.","1) Orlando, Laura. Estrategias de acción de las pobladoras: prácticas de cuidado y producción social del barrio en Villa La Reina, Santiago. Capítulo libro Tramando vidas colectivas. Investigaciones recientes sobre género, espacio y territorio en Chile. RIL Editores, Colección Estudios Urbanos UC. 2)","2) Orlando, Laura., Vives, Alejandra, Rasse, Alejandra, et al. ‘Mi vida va a ser mucho mejor de lo que ha sido’: estudio cualitativo sobre el vínculo entre regeneración de viviendas sociales, calidad de vida y salud. Artículo. Cadernos Saúde Pública 39 (5).","3) López, Alonso & Orlando, Laura. Procesos de subjetivación moral y lucha por la vivienda: El caso de Las Perdices, La Reina. Santiago. Revista Contenido. Cultura y Ciencias Sociales. Nº10 “Enfoque biográfico y curso de vida: caminos paralelos para un destino común” 2020.",,,,,,,,,,,,,
Penélope Brou,Perú,Lima,Universidad Peruana Cayetano Heredia,SALURBAL Fellow,https://youtube.com/shorts/7H4N7FNa1qg?feature=share,https://youtube.com/shorts/X8B8ehv3yao,"Penelopé es investigadora asociada en el Instituto de Medicina Tropical “Alexander von Humboldt” y coordinadora de Impacto en InnovaLab de la UPCH, Perú. Fellow en SALURBAL-Climate. Magíster en Salud Pública y Salud Global por la UPCH y licenciada en Ciencia Política por la PUCP. Su investigación aborda cambio climático, equidad en salud y poblaciones vulnerables. Cuenta con experiencia en trabajo comunitario, comunicación pública de la ciencia e incidencia en políticas.","Investigadora Asociada en el Instituto de Medicina Tropical “Alexander von Humboldt” y Coordinadora de Impacto en el Laboratorio de Innovación en Salud (InnovaLab) de la Universidad Peruana Cayetano Heredia (UPCH), Perú y Fellow en SALURBAL - Climate. Magíster en Salud Pública y Salud Global por la Universidad Peruana Cayetano Heredia, y licenciada en Ciencia Política por la Pontificia Universidad Católica del Perú. Experiencia en investigación sobre cambio climático, equidad en salud y poblaciones en situación de vulnerabilidad. Con trayectoria en trabajo comunitario y en acercar la evidencia científica a la comunicación pública y a los procesos de toma de decisiones en políticas.
","Penélope is an associate researcher at the ""Alexander von Humboldt"" Institute of Tropical Medicine and Impact Coordinator at InnovaLab at UPCH, Peru. Fellow at SALURBAL-Climate. She holds a master's degree in Public Health and Global Health from UPCH and a bachelor's degree in Political Science from PUCP. Her research addresses climate change, health equity, and vulnerable populations. She has experience in community work, public communication of science, and policy advocacy.","Penelopé é pesquisadora associada no Instituto de Medicina Tropical ""Alexander von Humboldt"" e coordenadora de Impacto no InnovaLab da UPCH, Peru. Fellow no SALURBAL-Climate. É mestre em Saúde Pública e Saúde Global pela UPCH e bacharel em Ciência Política pela PUCP. Sua pesquisa aborda mudanças climáticas, equidade em saúde e populações vulneráveis. Tem experiência em trabalho comunitário, comunicação pública da ciência e incidência em políticas.","Gozzer, E., Becerra-Chauca, N., Abba-Aji, M., Wirtz, V. J., Cordoba, G., Canchihuamán, F., R. Nagassar, S., Yañez-Diaz, P.,Brou, C.. Delgado-Flores & F., Koya, S. (2025). Antimicrobial resistance interventions in Latin America and the Caribbean: a scoping review of reported interventions between 2018–2024. Antimicrobial Resistance & Infection Control, 14(1), 1-20.",      ,,,, ,,,View,Reach,Interaction,Likes,Comments,shares,saves,
Daniela DaCosta,Guatemala,Villa Nueva,INCAP,SALURBAL Fellow,https://youtube.com/shorts/DAH7gpxuyzw?feature=share,https://youtube.com/shorts/oIiqLpCK_ew,"Daniela es investigadora en epidemiología social y licenciada en Biología. Actualmente trabaja en  INCAP (Instituto de Nutrición de Centroamérica y Panamá ) como becaria de investigación y asistente de investigación del proyecto SALURBAL-Clima y del CCUH (Centro de Investigación en Cambio Climático y Salud Urbana).  Su investigación doctoral se enfoca en los resultados en salud relacionados con la movilidad, el cambio climático y el transporte.","Investigadora en epidemiología social y licenciada en Biología. Actualmente trabajo en el Instituto de Nutrición de Centroamérica y Panamá, como becaria de investigación y asistente de investigación del proyecto SALURBAL-Climate y del CCUH (Centro de Investigación en Cambio Climático y Salud Urbana). Estoy ansiosa por aprender sobre el cambio climático y aplicar lo ganado y mis habilidades para contribuir a la línea de investigación sobre movilidad. Tengo una formación mixta y sólida en apoyo técnico a vectores de malaria y dengue, sistemas de vigilancia del agua y campañas de promoción de la salud culturalmente pertinentes. Durante la pandemia COVID-19, trabajé en una intervención de salud digital con campañas de promoción de la salud culturalmente pertinentes, un proyecto premiado por la Iniciativa de Innovación Social en Salud. También colaboré en una encuesta transversal a escala nacional para aportar sugerencias culturalmente pertinentes al Ministerio de Sanidad. Mi objetivo inmediato es realizar un doctorado, centrado en los resultados en salud relacionados con la movilidad, el cambio climático y el transporte.","Daniela is a researcher in social epidemiology and has an undergrad degree in Biology. She is currently working at INCAP (Institute of Nutrition of Central America and Panama) as a research fellow and research assistant of SALURBAL-Climate - the Urban Health and Climate Change project and the CCUH – Drexel’s Climate Change and Urban Health Research Center. Her doctoral research focuses on health outcomes related to mobility, climate change and transportation.",,,,,,,,,Post,667,256,34,24,0,7,2,2
Ignacio Yannone,Argentina,Remedios de Escalada,Universidad Nacional de Lanus,SALURBAL Fellow,https://youtube.com/shorts/FbULovjpfs4?feature=share,https://youtube.com/shorts/ZJGtRgsaWEo?feature=share,"Ignacio es médico internista y epidemiólogo. Articula la práctica clínica, la gestión sanitaria y la investigación, enfocándose en la mortalidad por accidentes de tránsito en ciudades latinoamericanas. En el marco del Proyecto SALURBAL y el Instituto de Salud Colectiva de la Universidad Nacional de Lanús, estudia los determinantes urbanos y sociales de estas muertes. Actualmente continúa integrando asistencia, gestión e investigación en instituciones argentinas para contribuir a la salud pública.","Soy médico especialista en Medicina Interna y epidemiólogo. En los últimos años he desarrollado mi actividad profesional articulando la práctica clínica, la gestión de servicios de salud y la investigación epidemiológica, con especial énfasis en el análisis de la mortalidad por accidentes de tránsito en grandes ciudades latinoamericanas.Mi producción científica en esta temática se ha desarrollado en el marco del Proyecto SALURBAL, desde el Instituto de Salud Colectiva de la Universidad Nacional de Lanús, donde he participado activamente en el estudio de los determinantes urbanos y sociales de la mortalidad por tránsito en la región. Este trabajo ha sido posible gracias al intercambio académico y al trabajo colaborativo con colegas de una red internacional comprometida con la salud urbana.Actualmente continúo integrando la asistencia, la gestión y la investigación en distintas instituciones sanitarias de Argentina con el objetivo y el compromiso de siempre de contribuir a la salud pública nacional.","Ignacio is an internist and epidemiologist. He integrates clinical practice, healthcare management, and research, focusing on traffic mortality in Latin American cities. Within the framework of the SALURBAL Project and the Institute of Collective Health at the National University of Lanús, he studies the urban and social determinants of these deaths. He currently continues to combine clinical care, management, and research in Argentine institutions to contribute to public health.","Ignacio é médico internista e epidemiologista. Ele integra a prática clínica, a gestão em saúde e a pesquisa, com foco na mortalidade por acidentes de trânsito em cidades latino-americanas. No âmbito do Projeto SALURBAL e do Instituto de Saúde Coletiva da Universidade Nacional de Lanús, estuda os determinantes urbanos e sociais dessas mortes. Atualmente, continua combinando assistência, gestão e pesquisa em instituições argentinas para contribuir com a saúde pública.","Yannone, I. J., Alazraqui, M., Rodríguez Hernández, J. L., Sarmiento Dueñas, O. L., Rodríguez, D. A., Ferrer, C. P., Guzman, L. A., Perner, M. S., Trotta, A., Diez Roux, A. V., & Quistberg, D. A. (2025). Built and social environment characteristics associated with motorcyclist mortality in Latin American cities from the SALURBAL study. Injury Epidemiology, 12(1), 61. https://doi.org/10.1186/s40621-025-00611-y","Hsu, C. K., Quistberg, D. A., Sánchez, B. N., Kephart, J. L., Bilal, U., Gouveia, N., Ferrer, C. P., Caiaffa, W. T., de Lima Friche, A. A., Yannone, I., & Rodríguez, D. A. (2025). Individual and city-level variations in heat-related road traffic deaths in Latin America. medRxiv. https://doi.org/10.1101/2025.09.05.25334734","Yannone, I. J., & Alazraqui, M. (En prensa). Mortalidad por accidentes de tránsito en grandes aglomerados urbanos, Argentina 2010–2016. Revista de la Facultad de Ciencias Médicas de Córdoba.",,,,,Giovanna,1170,804,47,34,4,6,2,3
Celia Minerva Jimenez,México,Cuernavaca,Instituto Nacional de Salud Publica,SALURBAL Fellow,https://youtube.com/shorts/gfHiysiRlGg?feature=share,https://youtube.com/shorts/Ham21vyxTXc,"Celia es licenciada en Arquitectura por la Universidad Autónoma del Estado de Morelos y maestra en Ciencias en Salud Ambiental por el Instituto Nacional de Salud Pública, con mención especial. Actualmente cursa el último semestre del doctorado en la misma institución. Su tesis de licenciatura abordó la huella de carbono en espacios educativos. Entre 2014 y 2020 fue asistente de investigación en el Colectivo de Estudios Urbano Ambientales, participando en divulgación y congresos nacionales e internacionales. Hoy desarrolla su tesis doctoral sobre materiales de construcción, temperatura y mortalidad, con el equipo de SALURBAL-México","Licenciada en Arquitectura por la Universidad Autónoma del Estado de Morelos, realizó una maestría en Ciencias en Salud Ambiental en el Instituto Nacional de Salud Pública, titulándose con mención especial. Actualmente, está cursando el último semestre del Doctorado en Ciencias en Salud Ambiental en el mismo Instituto. Se tituló de la licenciatura con el trabajo de tesis “La huella de carbono en espacios educativos. El caso de la UAEMor”, y con afán de continuar su formación en temas de ambientales, decidió cursar la maestría en Ciencias en Salud Ambiental y ahora el doctorado en la misma línea. Del 2014 al 2020 trabajo como asistente de investigación en el Colectivo de Estudios Urbano Ambientales, de la Facultad de Arquitectura, y durante su estancia en el colectivo tuvo la oportunidad de realizar divulgación en temas ambientales y de participar como ponente en congresos nacionales e internacionales con temas relacionados con el ambiente y el entorno urbano. Actualmente se encuentra trabajando su proyecto de tesis titulado “Materiales de construcción en la vivienda como modificadores del efecto de la asociación entre temperatura y mortalidad”, el cual está llevando a cabo con el equipo de SALURBAL-México, bajo la Dirección de la Dra. Carolina Pérez Ferrer.","Celia holds a bachelor's degree in Architecture from the Autonomous University of the State of Morelos and a master's degree in Environmental Health Sciences from the National Institute of Public Health, where she graduated with honors. She is currently in the final semester of her doctorate in Environmental Health Sciences at the same institution. Her undergraduate thesis addressed the carbon footprint in educational spaces. From 2014 to 2020, she worked as a research assistant at the Collective for Urban Environmental Studies, participating in science communication and national and international conferences. She is now developing her doctoral thesis on construction materials, temperature, and mortality, with the SALURBAL-Mexico team.","Celia é bacharel em Arquitetura pela Universidade Autônoma do Estado de Morelos e mestre em Ciências em Saúde Ambiental pelo Instituto Nacional de Saúde Pública, com menção honrosa. Atualmente, cursa o último semestre do doutorado em Ciências em Saúde Ambiental na mesma instituição. Sua tese de graduação abordou a pegada de carbono em espaços educacionais. Entre 2014 e 2020, foi assistente de pesquisa no Coletivo de Estudos Urbano-Ambientais, participando de divulgação científica e congressos nacionais e internacionais. Hoje desenvolve sua tese de doutorado sobre materiais de construção, temperatura e mortalidade, com a equipe do SALURBAL-México.","Jimenez-Ortiz C. M., Hurtado-Díaz M., Kephart J., Zúñiga-Bello P. E., Barrientos-Gutiérrez T., Riojas-Rodríguez H., Pérez-Ferrer C. (2026). Effect modification of building materials in housing in the association between temperature and cardiovascular mortality in urban municipalities of Mexico. (En proceso).","Jimenez-Ortiz C. M., Rincón-Rubio A., Hurtado-Díaz M., Kephart J., Zúñiga-Bello P. E., Barrientos-Gutiérrez T., Riojas-Rodríguez H., Mérida-Ortega A., Pérez-Ferrer C. (2026). Indoor temperature in dwellings and its association with cardiovascular and respiratory health in the general population. A scoping review to inform potential adaptation measures for climate change. (En proceso).","Higuera-Mendieta D., Diez Roux A., Sanchez B., Barber S., Bilal U., Kephart J., Blanco M., Rodriguez-Villamizar L. A., Lopes de Moraes S., Trotta A., Bakhtsiyarava M., Vives A., Valentino G., Yohannessen K., Munoz M., Jimenez-Ortiz C. M., Carrasco Escobar G., Ascencio E. (2026). Modification of heat effects on mortality by individual-level education and race/ethnicity in Latin America. (En proceso).",,,,,Kai,824,490,49,41,1,6,0,2
Tamara Arratia,Chile,Santiago de Chile,Pontificia Universidad de Chile,SALURBAL Fellow,https://youtube.com/shorts/Kv5grcRLtF4?feature=share,https://youtube.com/shorts/YVhZqwobkFM,"Tamara es Socióloga, Magíster en Gerencia Social para el Desarrollo y Magíster en Salud Pública en la Pontificia Universidad Católica de Chile. En su experiencia profesional ha trabajado en Salud Mental Comunitaria y Cambio Climático, utilizando metodología cualitativa en el campo de las ciencias de la implementación.","Tamara ha estado envuelta en el campo de la Salud Mental Comunitaria desde 2013. Ha trabajado en varias áreas temáticas, incluyendo: Estigma y Enfermedad Mental Atención Primaria de Salud, Primer Episodio de Psicosis; Recuperación; Alfabetización en Salud Mental. Además, ha participado en investigaciones utilizando metodología cualitativa en el campo de las ciencias de la implementación. También ha gestionado internamente proyectos de investigación.
En cuanto a su trayectoria profesional, Tamara ha desempeñado funciones en las siguientes instituciones: Universidad de Chile - Escuela de Salud Pública; Universidad de O'Higgins - Instituto de Ciencias de la Salud; Pontificia Universidad Católica - Escuela de Medicina - División de Salud Pública y Medicina Familiar. Además de su formación como Socióloga, Tamara tiene un Magíster en Gestión Social para el Desarrollo de FLACSO-Chile y está cursando un Magíster en Salud Pública (MPH) en la Pontificia Universidad Católica de Chile.","Tamara is a Sociologist, a Master in Social Management for Development, and a Master in Public Health at the Pontificia Universidad Católica de Chile. In her professional experience, she has worked with Community Mental Health and Climate Change, using qualitative methodology in implementation sciences.","Tamara é socióloga, mestre em Gestão Social para o Desenvolvimento e mestre em Saúde Pública pela Pontificia Universidad Católica de Chile. Em sua experiência profissional, trabalhou em Saúde Mental Comunitária e Mudanças Climáticas, utilizando metodologia qualitativa no campo das ciências da implementação.","Arratia Solar, T. (2023). Políticas públicas, desarrollo humano y salud mental: protocolo de recuperación psicosocial dirigido a Adolescentes en Chile: post pandemia Covid 19 [Tesis de grado, FLACSO Chile].",,,,,,,Laura,278,192,11,10,0,0,1,0
Leonardo Palencia,Colombia,Lorica,Universidad de Los Andes,SALURBAL Fellow,https://youtube.com/shorts/7TqWSjjRRK0?feature=share,https://youtube.com/shorts/gW2JdY7E3ck,"Leonardo es Médico e Ingeniero Biomédico egresado de la Universidad de los Andes, donde actualmente estudia la maestría en Inteligencia Analítica de Datos. En 2016 inició sus estudios superiores gracias al programa Ser Pilo Paga, una estrategia del gobierno colombiano que otorga educación superior a personas de bajo nivel socioeconómico y con los puntajes más altos en las pruebas nacionales. En 2022 se vinculó al grupo EpiAndes donde continúa trabajando. ","Leonardo es Médico e Ingeniero Biomédico egresado de la Universidad de los Andes, Colombia. Nació en Colombia, en el municipio de Lorica (Departamento de Córdoba). En 2016 inició sus estudios superiores gracias al programa Ser Pilo Paga, un programa estatal que otorgaba educación superior a personas de muy bajo nivel socioeconómico y con los puntajes más altos en las pruebas nacionales. En 2022 se vinculó al grupo EpiAndes liderado por la Dra. Olga Lucía Sarmiento (Grupo de Epidemiología de la Universidad de los Andes) donde continúa trabajando. Actualmente se desempeña como coordinador del proyecto ESCALA (Estudio de Salud Urbana y cambio climático en asentamientos informales de Latinoamérica), cuyo investigador principal es el Dr. Alex Quistberg.","Leonardo is a Medical Doctor and Biomedical Engineer who graduated from Universidad de los Andes, Colombia. In 2016 he started his higher education thanks to the Ser Pilo Paga program, a Colombian government strategy that grants higher education to people of low socioeconomic status and with the highest scores on national tests. In 2022 he joined the EpiAndes group where he continues to work. He is currently a student of a Master's degree in Data Analytics Intelligence at the same university. ","Leonardo é médico e engenheiro biomédico formado pela Universidad de los Andes, na Colômbia. Em 2016, iniciou seus estudos superiores graças ao programa Ser Pilo Paga, uma iniciativa do governo colombiano que oferece ensino superior a pessoas de baixa renda com as melhores notas nos testes nacionais. Em 2022, juntou-se ao grupo EpiAndes, onde continua trabalhando. Atualmente, é mestrando em Inteligência Analítica de Dados na mesma universidade. ",,,,,,,,Penny,323,153,18,17,0,0,1,2
Laura Baldovino,Colombia,La Mojana,Universidad de Los Andes,Investigadora,https://youtube.com/shorts/jFzcQ731T88?feature=share,https://youtube.com/shorts/CsAW3Amuqok?feature=share,"Laura Baldovino es médica y magíster en Epidemiología de la Universidad de los Andes, y residente de Medicina Interna en la Universidad de La Sabana. Su investigación se enfoca en los determinantes sociales de la salud, las enfermedades crónicas y la promoción de estilos de vida saludables. Trabaja en el diseño e implementación de estrategias intersectoriales e investigación traslacional para fomentar el bienestar equitativo y sostenible de las comunidades en América Latina.","Laura Baldovino es Médica y Magíster en Epidemiología de la Universidad de los Andes. Residente de Medicina Interna de la Universidad de La Sabana. Sus intereses se enfocan en la investigación en el área de los Determinantes Sociales de la Salud, las enfermedades crónicas no transmisibles y la promoción de estilos de vida saludables. Tiene interés en el diseño, implementación y evaluación de proyectos y estrategias intersectoriales y de investigación traslacional que busquen la promoción de la salud y el bienestar de las comunidades de América Latina de manera equitativa y sostenible.","Laura Baldovino is a physician and holds a Master's degree in Epidemiology from the Universidad de los Andes, and is an Internal Medicine resident at Universidad de La Sabana. Her research focuses on the social determinants of health, chronic diseases, and the promotion of healthy lifestyles. She works on the design and implementation of intersectoral strategies and translational research to promote equitable and sustainable well-being in Latin American communities.","Laura Baldovino é médica e mestre em Epidemiologia pela Universidad de los Andes, e residente em Medicina Interna na Universidad de La Sabana. Sua pesquisa concentra-se nos determinantes sociais da saúde, doenças crônicas e promoção de estilos de vida saudáveis. Ela trabalha no desenho e implementação de estratégias intersetoriais e pesquisa translacional para promover o bem-estar equitativo e sustentável nas comunidades da América Latina.","Baldovino-Chiquillo, L., Sarmiento, O. L., Pasos, D. S., Palencia-Pérez, L., O’Donovan, G., Cantillo-García, V., Martínez, L., Arellana, J., & Guzmán, L. A. (2025). Effects of an urban cable car intervention on quality of life: An observational, quasi-experimental study in Bogotá, Colombia (TrUST). The Lancet Regional Health – Americas, 47, 101126. https://doi.org/10.1016/j.lana.2025.101126","Morais, L. M. de O., Borde, E., Guevara, P., Valdebenito, R., Baldovino-Chiquillo, L., Sarmiento, O. L., Vives Vergara, A., Friche, A. A. L., & Caiaffa, W. T. (2025). Gender and urban health: A Latin American structured tool for research and policy. Cadernos de Saúde Pública, 40(12), e00046124. https://doi.org/10.1590/0102-311XEN046124","Zewdie, H. Y., Sarmiento, O. L., Pinzón, J. D., Wilches-Mogollón, M. A., Arbeláez, P. A., Baldovino-Chiquillo, L., Hidalgo, D., Guzmán, L. A., Mooney, S. J., Nguyen, Q. C., Tasdizen, T., & Quistberg, D. A. (2024). Road traffic injuries and the built environment in Bogotá, Colombia, 2015–2019: A cross-sectional analysis. Journal of Urban Health. Advance online publication. https://doi.org/10.1007/s11524-024-00842-2",,,,,,LinkedIn,,,,,,,
